depth,proxy_filtered,time,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,43Ca/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca,peakID_1,peakID_2,peakID_3,peakID_4
57.505461000000004,0.020575504,76.30252,30990.6448,80670.26066,4350.757032,304.5215222,1.414454415,1000,0.437572395,0.020575504,0.0,interval 7,interval 7,interval 7,interval 7
57.951239,0.0247003235,76.41176,30991.00838,80670.00274,5901.392729,215.5635676,2.355807956,1000,0.359363179,0.073435332,0.0,interval 7,interval 7,interval 7,interval 7
58.397018,0.023321978,76.52089,30991.37196,80669.74481,5601.254681,233.9267781,2.137683728,1000,0.344876872,0.023321978,0.0,interval 7,interval 7,interval 7,interval 7
58.842797000000004,0.059667668,76.63004,30991.73555,80669.48688,5151.061119,255.1451385,3.125171657,1000,0.315757306,0.059667668,0.0,interval 7,interval 7,interval 7,interval 7
59.288576,0.023552186,76.73912,30992.09913,80669.22896,5551.232374,236.717474,1.079385783,1000,0.398559644,0.023552186,0.0,interval 7,interval 7,interval 7,interval 7
59.734355,0.042167521,76.84826,30992.46271,80668.97103,5201.081825,244.8313531,1.159501495,1000,0.358700741,0.042167521,0.0,interval 7,interval 7,interval 7,interval 7
60.180133,0.014163498,76.95738,30992.8263,80668.7131,6101.488763,205.9633156,1.947339113,1000,0.291492175,0.014163498,0.0,interval 7,interval 7,interval 7,interval 7
60.625912,0.013445161,77.06643,30993.18988,80668.45518,6401.63882,200.522322,1.54047605,1000,0.264408155,0.013445161,0.0,interval 7,interval 7,interval 7,interval 7
61.071690999999994,0.008710443,77.17557,30993.55346,80668.19725,5051.020306,256.9942844,1.596798288,1000,0.410331046,0.008710443,0.0,interval 7,interval 7,interval 7,interval 7
61.517469999999996,0.007481422,77.28472,30993.91704,80667.93932,5801.345912,226.5018883,1.714371176,1000,0.246346635,0.007481422,0.0,interval 7,interval 7,interval 7,interval 7
61.963248,0.022444447,77.39388,30994.28063,80667.6814,5801.345912,222.6992424,2.057249526,1000,0.362701658,0.022444447,0.0,interval 7,interval 7,interval 7,interval 7
62.409027,0.01668984,77.50302,30994.64421,80667.42347,5251.102732,251.5463412,1.912234382,1000,0.393110424,0.01668984,0.0,interval 7,interval 7,interval 7,interval 7
62.854805999999996,0.0,77.61216,30995.00779,80667.16554,5601.254681,233.5861317,1.781399544,1000,0.312872354,0.0,0.0,interval 7,interval 7,interval 7,interval 7
63.300585000000005,0.022235284,77.72131,30995.37138,80666.90762,5851.36922,218.4163393,1.01903276,1000,0.288123136,0.022235284,0.0,interval 7,interval 7,interval 7,interval 7
