File,Interval,peakID,total_growth,total_growth_centered,total_time_days,growth_rate,growth_rate_centered,start_date,end_date
B323_int_peakid.csv_peakID_4,interval 3,peakID_4,3835.166214,3835.166214,26.915752314814814,142.48779559057948,142.48779559057948,2022-06-01 03:04:23,2022-06-28 01:03:04
B323_int_peakid.csv_peakID_4,interval 1,peakID_4,1437.654246,1437.654246,16.937662037037036,84.87914346480217,84.87914346480217,2022-04-25 00:07:26,2022-05-11 22:37:40
B323_int_peakid.csv_peakID_4,interval 0,peakID_4,1570.3875499999995,1570.3875499999995,82.5603587962963,19.021084366586447,19.021084366586447,2022-02-01 10:00:00,2022-04-24 23:26:55
B323_int_peakid.csv_peakID_4,interval 5,peakID_4,1566.0922820000003,1566.0922820000003,18.794965277777777,83.32509578252156,83.32509578252156,2022-07-24 06:07:38,2022-08-12 01:12:23
B325_int_peakid.csv_peakID_1,interval 7,peakID_1,578.9188650000001,578.9188650000001,46.313101851851854,12.500109944090296,12.500109944090296,2022-09-09 02:29:08,2022-10-25 10:00:00
B325_int_peakid.csv_peakID_1,interval 6,peakID_1,1290.974776,1290.974776,27.995034722222222,46.11441953223352,46.11441953223352,2022-08-12 01:33:39,2022-09-09 01:26:30
B325_int_peakid.csv_peakID_1,interval 4,peakID_1,558.9243539999998,558.9243539999998,26.16314814814815,21.36303899038086,21.36303899038086,2022-06-28 01:36:17,2022-07-24 05:31:13
B325_int_peakid.csv_peakID_1,interval 3,peakID_1,1260.0677669999995,1260.0677669999995,26.903125,46.837226790567996,46.837226790567996,2022-06-01 03:13:33,2022-06-28 00:54:03
B325_int_peakid.csv_peakID_1,interval 2,peakID_1,637.0617190000003,637.0617190000003,20.149363425925927,31.61696503921812,31.61696503921812,2022-05-11 23:04:50,2022-06-01 02:39:55
B325_int_peakid.csv_peakID_1,interval 1,peakID_1,46.35317099999975,46.35317099999975,16.63113425925926,2.7871322711614193,2.7871322711614193,2022-04-25 03:48:05,2022-05-11 18:56:55
B325_int_peakid.csv_peakID_1,interval 0,peakID_1,3363.8273790000003,3363.8273790000003,82.57262731481481,40.737802446022904,40.737802446022904,2022-02-01 10:00:00,2022-04-24 23:44:35
B325_int_peakid.csv_peakID_1,interval 5,peakID_1,1096.4109239999998,1096.4109239999998,18.790648148148147,58.34875494212546,58.34875494212546,2022-07-24 06:10:41,2022-08-12 01:09:13
B325_int_peakid.csv_peakID_2,interval 7,peakID_2,578.9188650000001,578.9188650000001,46.313101851851854,12.500109944090296,12.500109944090296,2022-09-09 02:29:08,2022-10-25 10:00:00
B325_int_peakid.csv_peakID_2,interval 6,peakID_2,1290.974776,1290.974776,27.995034722222222,46.11441953223352,46.11441953223352,2022-08-12 01:33:39,2022-09-09 01:26:30
B325_int_peakid.csv_peakID_2,interval 4,peakID_2,1726.4507089999997,1726.4507089999997,26.190011574074074,65.92019648853618,65.92019648853618,2022-06-28 01:16:50,2022-07-24 05:50:27
B325_int_peakid.csv_peakID_2,interval 3,peakID_2,1260.0677669999995,1260.0677669999995,26.903125,46.837226790567996,46.837226790567996,2022-06-01 03:13:33,2022-06-28 00:54:03
B325_int_peakid.csv_peakID_2,interval 2,peakID_2,637.0617190000003,637.0617190000003,20.149363425925927,31.61696503921812,31.61696503921812,2022-05-11 23:04:50,2022-06-01 02:39:55
B325_int_peakid.csv_peakID_2,interval 1,peakID_2,46.35317099999975,46.35317099999975,16.63113425925926,2.7871322711614193,2.7871322711614193,2022-04-25 03:48:05,2022-05-11 18:56:55
B325_int_peakid.csv_peakID_2,interval 0,peakID_2,3363.8273790000003,3363.8273790000003,82.57262731481481,40.737802446022904,40.737802446022904,2022-02-01 10:00:00,2022-04-24 23:44:35
