specimen,start_date,end_date,start_distance_mm,end_distance_mm,true_spike_count,peakID,identified_spike_count
G668,2022-01-19,2022-03-01,0.39685726319816383,0.847445084113615,1,peakID_3,1
G668,2022-01-19,2022-03-01,0.39685726319816383,0.847445084113615,1,peakID_4,1
G668,2022-03-01,2022-04-24,0.847445084113615,2.6889779174202335,0,peakID_1,2
G668,2022-03-01,2022-04-24,0.847445084113615,2.6889779174202335,0,peakID_2,1
G668,2022-03-01,2022-04-24,0.847445084113615,2.6889779174202335,0,peakID_3,2
G668,2022-03-01,2022-04-24,0.847445084113615,2.6889779174202335,0,peakID_4,2
G668,2022-04-24,2022-10-11,2.6889779174202335,12.24927603075675,7,peakID_1,4
G668,2022-04-24,2022-10-11,2.6889779174202335,12.24927603075675,7,peakID_2,5
G668,2022-04-24,2022-10-11,2.6889779174202335,12.24927603075675,7,peakID_3,4
G668,2022-04-24,2022-10-11,2.6889779174202335,12.24927603075675,7,peakID_4,4
G723,2022-01-19,2022-03-01,0.6711281107119138,1.317623679851473,1,peakID_1,1
G723,2022-01-19,2022-03-01,0.6711281107119138,1.317623679851473,1,peakID_2,0
G723,2022-01-19,2022-03-01,0.6711281107119138,1.317623679851473,1,peakID_3,1
G723,2022-01-19,2022-03-01,0.6711281107119138,1.317623679851473,1,peakID_4,1
G723,2022-03-01,2022-04-24,1.317623679851473,7.42994542444367,0,peakID_1,4
G723,2022-03-01,2022-04-24,1.317623679851473,7.42994542444367,0,peakID_2,4
G723,2022-03-01,2022-04-24,1.317623679851473,7.42994542444367,0,peakID_3,4
G723,2022-03-01,2022-04-24,1.317623679851473,7.42994542444367,0,peakID_4,4
G723,2022-04-24,2022-10-11,7.42994542444367,17.225332835649112,7,peakID_1,1
G723,2022-04-24,2022-10-11,7.42994542444367,17.225332835649112,7,peakID_2,1
G723,2022-04-24,2022-10-11,7.42994542444367,17.225332835649112,7,peakID_3,1
G723,2022-04-24,2022-10-11,7.42994542444367,17.225332835649112,7,peakID_4,1
G728,2022-01-19,2022-03-01,1.2000790309170069,2.55184249366336,1,peakID_1,1
G728,2022-01-19,2022-03-01,1.2000790309170069,2.55184249366336,1,peakID_2,0
G728,2022-01-19,2022-03-01,1.2000790309170069,2.55184249366336,1,peakID_3,0
G728,2022-01-19,2022-03-01,1.2000790309170069,2.55184249366336,1,peakID_4,1
G728,2022-03-01,2022-04-24,2.55184249366336,7.743397821602245,0,peakID_1,3
G728,2022-03-01,2022-04-24,2.55184249366336,7.743397821602245,0,peakID_2,3
G728,2022-03-01,2022-04-24,2.55184249366336,7.743397821602245,0,peakID_3,4
