file,specimen,treatment,peakID,peak_interval,depth
G664_sub_peakid.csv,G664,subtidal,peakID_2,peak 4,5976.18875
G664_sub_peakid.csv,G664,subtidal,peakID_2,interval 3,6076.092799
G664_sub_peakid.csv,G664,subtidal,peakID_2,peak 3,6335.315198
G664_sub_peakid.csv,G664,subtidal,peakID_2,interval 2,7335.329119
G664_sub_peakid.csv,G664,subtidal,peakID_2,peak 2,9522.242634
G664_sub_peakid.csv,G664,subtidal,peakID_2,interval 1,9649.905583000002
G664_sub_peakid.csv,G664,subtidal,peakID_2,peak 1,10596.39317
G664_sub_peakid.csv,G664,subtidal,peakID_2,interval 0,11596.17236
G664_sub_peakid.csv,G664,subtidal,peakID_3,interval 7,0.0
G664_sub_peakid.csv,G664,subtidal,peakID_3,peak 7,144.136397
G664_sub_peakid.csv,G664,subtidal,peakID_3,peak 6,295.13643299999995
G664_sub_peakid.csv,G664,subtidal,peakID_3,interval 5,631.88367
G664_sub_peakid.csv,G664,subtidal,peakID_3,peak 5,2377.924654
G664_sub_peakid.csv,G664,subtidal,peakID_3,interval 4,2532.328385
G664_sub_peakid.csv,G664,subtidal,peakID_3,peak 4,4769.531975
G664_sub_peakid.csv,G664,subtidal,peakID_3,interval 3,5054.26177
G664_sub_peakid.csv,G664,subtidal,peakID_3,peak 3,5976.18875
G664_sub_peakid.csv,G664,subtidal,peakID_3,interval 2,6076.092799
G664_sub_peakid.csv,G664,subtidal,peakID_3,peak 2,8960.348958999999
G664_sub_peakid.csv,G664,subtidal,peakID_3,interval 1,9060.182269
G664_sub_peakid.csv,G664,subtidal,peakID_3,peak 1,10648.24213
G664_sub_peakid.csv,G664,subtidal,peakID_3,interval 0,10748.01869
G664_sub_peakid.csv,G664,subtidal,peakID_4,interval 7,0.0
G664_sub_peakid.csv,G664,subtidal,peakID_4,peak 7,141.133556
G664_sub_peakid.csv,G664,subtidal,peakID_4,interval 6,631.88367
G664_sub_peakid.csv,G664,subtidal,peakID_4,peak 6,1874.602996
G664_sub_peakid.csv,G664,subtidal,peakID_4,interval 5,1974.663514
G664_sub_peakid.csv,G664,subtidal,peakID_4,peak 5,2377.924654
G664_sub_peakid.csv,G664,subtidal,peakID_4,interval 4,2532.328385
G664_sub_peakid.csv,G664,subtidal,peakID_4,peak 4,4769.531975
G664_sub_peakid.csv,G664,subtidal,peakID_4,interval 3,5054.26177
G664_sub_peakid.csv,G664,subtidal,peakID_4,peak 3,5976.18875
G664_sub_peakid.csv,G664,subtidal,peakID_4,interval 2,6076.092799
G664_sub_peakid.csv,G664,subtidal,peakID_4,peak 2,10648.24213
G664_sub_peakid.csv,G664,subtidal,peakID_4,peak 1,10748.01869
G664_sub_peakid.csv,G664,subtidal,peakID_4,interval 0,11596.17236
G668_sub_peakid.csv,G668,subtidal,peakID_1,interval 7,0.0
G668_sub_peakid.csv,G668,subtidal,peakID_1,peak 7,802.1555649999999
G668_sub_peakid.csv,G668,subtidal,peakID_1,interval 6,1117.743205
G668_sub_peakid.csv,G668,subtidal,peakID_1,peak 6,1359.334727
G668_sub_peakid.csv,G668,subtidal,peakID_1,peak 5,2359.235999
G668_sub_peakid.csv,G668,subtidal,peakID_1,interval 4,2567.077111
G668_sub_peakid.csv,G668,subtidal,peakID_1,peak 4,2902.003073
G668_sub_peakid.csv,G668,subtidal,peakID_1,interval 3,3093.774832
G668_sub_peakid.csv,G668,subtidal,peakID_1,peak 3,3560.76952
G668_sub_peakid.csv,G668,subtidal,peakID_1,interval 2,4560.604459
G668_sub_peakid.csv,G668,subtidal,peakID_1,peak 2,4936.161787999999
G668_sub_peakid.csv,G668,subtidal,peakID_1,interval 1,5501.873557999999
G668_sub_peakid.csv,G668,subtidal,peakID_1,peak 1,6529.863406
G668_sub_peakid.csv,G668,subtidal,peakID_1,interval 0,6629.878829
G668_sub_peakid.csv,G668,subtidal,peakID_2,interval 7,0.0
G668_sub_peakid.csv,G668,subtidal,peakID_2,peak 7,802.1555649999999
G668_sub_peakid.csv,G668,subtidal,peakID_2,interval 6,1117.743205
